Week;Day;Steps
128;Sunday;8823
129;Monday;6434
129;Tuesday;6536
129;Wednesday;8595
129;Thursday;8574
129;Friday;9827
129;Saturday;5004
129;Sunday;5445
130;Monday;9498
130;Tuesday;9918
130;Wednesday;6474
130;Thursday;6546
130;Friday;7321
130;Saturday;6204
130;Sunday;8362
131;Monday;6854
131;Tuesday;8187
131;Wednesday;9099
131;Thursday;8811
131;Friday;9068
131;Saturday;8127
131;Sunday;8127
132;Monday;5399
132;Tuesday;8415
132;Wednesday;8743
132;Thursday;9710
132;Friday;6598
132;Saturday;8894
132;Sunday;6996
133;Monday;6837
133;Tuesday;9881
133;Wednesday;7205
133;Thursday;7915
133;Friday;8470
133;Saturday;8344
133;Sunday;6474
134;Monday;9975
134;Tuesday;7846
134;Wednesday;8088
134;Thursday;6279
134;Friday;10000
134;Saturday;8511
134;Sunday;6414
135;Monday;9652
135;Tuesday;7749
135;Wednesday;5527
135;Thursday;9909
135;Friday;5845
135;Saturday;7195
135;Sunday;6145
136;Monday;5176
136;Tuesday;9390
136;Wednesday;8267
136;Thursday;9847
136;Friday;6514
136;Saturday;6294
136;Sunday;8051
137;Monday;7754
137;Tuesday;9173
137;Wednesday;7260
137;Thursday;7588
137;Friday;7809
137;Saturday;8874
137;Sunday;7519
138;Monday;9941
138;Tuesday;7578
138;Wednesday;6326
138;Thursday;9102
138;Friday;7325
138;Saturday;9229
138;Sunday;6991
139;Monday;7015
139;Tuesday;5851
139;Wednesday;8012
139;Thursday;9539
139;Friday;8280
139;Saturday;5525
139;Sunday;6925
140;Monday;7108
140;Tuesday;7995
140;Wednesday;8998
140;Thursday;6213
140;Friday;6309
140;Saturday;7950
140;Sunday;8001
141;Monday;9421
141;Tuesday;8404
141;Wednesday;8041
141;Thursday;7706
141;Friday;5652
141;Saturday;6899
141;Sunday;7240
142;Monday;6993
142;Tuesday;6954
142;Wednesday;5768
142;Thursday;6143
142;Friday;9031
142;Saturday;5302
142;Sunday;6958
143;Monday;7865
143;Tuesday;9241
143;Wednesday;9509
143;Thursday;6090
143;Friday;8691
143;Saturday;8308
143;Sunday;9588
144;Monday;5284
144;Tuesday;9078
144;Wednesday;7417
144;Thursday;6991
144;Friday;7581
144;Saturday;7150
144;Sunday;9706
145;Monday;9141
145;Tuesday;5528
145;Wednesday;5962
145;Thursday;5137
145;Friday;9614
145;Saturday;9452
145;Sunday;9757
146;Monday;8701
146;Tuesday;9757
146;Wednesday;5531
146;Thursday;8045
146;Friday;9894
146;Saturday;9817
146;Sunday;7651
147;Monday;9849
147;Tuesday;8408
147;Wednesday;8083
147;Thursday;9074
147;Friday;5489
147;Saturday;7040
147;Sunday;8747
148;Monday;5732
148;Tuesday;9434
148;Wednesday;7076
148;Thursday;5088
148;Friday;5053
148;Saturday;9010
148;Sunday;5014
149;Monday;8300
149;Tuesday;6868
149;Wednesday;9397
149;Thursday;7830
149;Friday;5293
149;Saturday;8937
149;Sunday;5861
150;Monday;8797
150;Tuesday;7400
150;Wednesday;6887
150;Thursday;7766
150;Friday;6562
150;Saturday;7776
150;Sunday;7149
151;Monday;9127
151;Tuesday;5039
151;Wednesday;9082
151;Thursday;7220
151;Friday;9503
151;Saturday;8806
151;Sunday;9112
152;Monday;8382
152;Tuesday;8192
152;Wednesday;6037
152;Thursday;8449
152;Friday;8565
152;Saturday;9190
152;Sunday;6959
153;Monday;6718
153;Tuesday;6029
153;Wednesday;8277
153;Thursday;9145
153;Friday;9249
153;Saturday;9922
153;Sunday;9891
154;Monday;6297
154;Tuesday;6153
154;Wednesday;9225
154;Thursday;8325
154;Friday;5116
154;Saturday;5563
154;Sunday;5518
155;Monday;5039
155;Tuesday;6348
155;Wednesday;9163
155;Thursday;7469
155;Friday;6386
155;Saturday;5866
155;Sunday;6763
156;Monday;6998
156;Tuesday;5999
156;Wednesday;6140
156;Thursday;9421
156;Friday;6526
156;Saturday;9927
156;Sunday;8299
157;Monday;9075
157;Tuesday;9856
157;Wednesday;6516
157;Thursday;5351
157;Friday;6026
157;Saturday;8676
157;Sunday;8638
158;Monday;9455
158;Tuesday;5200
158;Wednesday;8359
158;Thursday;7695
158;Friday;7638
158;Saturday;6923
158;Sunday;9103
159;Monday;7671
159;Tuesday;8725
159;Wednesday;8612
159;Thursday;5635
159;Friday;9900
159;Saturday;7931
159;Sunday;6740
160;Monday;5308
160;Tuesday;8599
160;Wednesday;9255
160;Thursday;9357
160;Friday;9163
160;Saturday;9036
160;Sunday;5389
161;Monday;8635
161;Tuesday;9839
161;Wednesday;9096
161;Thursday;7913
161;Friday;5094
161;Saturday;8105
161;Sunday;6868
162;Monday;5401
162;Tuesday;9875
162;Wednesday;8987
162;Thursday;9076
162;Friday;8323
162;Saturday;5036
162;Sunday;6025
163;Monday;7518
163;Tuesday;5117
163;Wednesday;5523
163;Thursday;7661
163;Friday;7495
163;Saturday;7773
163;Sunday;9591
164;Monday;5227
164;Tuesday;5053
164;Wednesday;9551
164;Thursday;8001
164;Friday;9960
164;Saturday;6967
164;Sunday;7241
165;Monday;5033
165;Tuesday;5568
165;Wednesday;6644
165;Thursday;6370
165;Friday;5557
165;Saturday;9445
165;Sunday;5721
166;Monday;5886
166;Tuesday;6624
166;Wednesday;6874
166;Thursday;5347
166;Friday;5827
166;Saturday;7353
166;Sunday;8452
167;Monday;7692
167;Tuesday;8007
167;Wednesday;8269
167;Thursday;6912
167;Friday;5083
167;Saturday;6707
167;Sunday;5818
168;Monday;7144
168;Tuesday;5628
168;Wednesday;5432
168;Thursday;9898
168;Friday;9036
168;Saturday;8603
168;Sunday;8593
169;Monday;5674
169;Tuesday;7653
169;Wednesday;6667
169;Thursday;6935
169;Friday;8304
169;Saturday;5921
169;Sunday;5513
170;Monday;9849
170;Tuesday;8783
170;Wednesday;9125
170;Thursday;6532
170;Friday;6096
170;Saturday;9940
170;Sunday;7449
171;Monday;9670
171;Tuesday;7549
171;Wednesday;8851
171;Thursday;6938
171;Friday;8165
171;Saturday;7864
171;Sunday;6875
172;Monday;9022
172;Tuesday;9580
172;Wednesday;5746
172;Thursday;5364
172;Friday;5223
172;Saturday;8655
172;Sunday;9272
173;Monday;9118
173;Tuesday;9716
173;Wednesday;6123
173;Thursday;6716
173;Friday;7097
173;Saturday;6644
173;Sunday;8294
174;Monday;9791
174;Tuesday;5089
174;Wednesday;8690
174;Thursday;6057
174;Friday;5922
174;Saturday;8462
174;Sunday;8066
175;Monday;6113
175;Tuesday;6414
175;Wednesday;7359
175;Thursday;7426
175;Friday;5074
175;Saturday;5793
175;Sunday;5439
176;Monday;7730
176;Tuesday;8691
176;Wednesday;8034
176;Thursday;7107
176;Friday;8367
176;Saturday;6142
176;Sunday;7435
177;Monday;7469
177;Tuesday;5369
177;Wednesday;8352
177;Thursday;5091
177;Friday;6635
177;Saturday;5489
177;Sunday;7477
178;Monday;8720
178;Tuesday;8832
178;Wednesday;8466
178;Thursday;6457
178;Friday;5941
178;Saturday;7359
178;Sunday;6260
179;Monday;5380
179;Tuesday;8351
179;Wednesday;9158
179;Thursday;5354
179;Friday;8812
179;Saturday;9996
179;Sunday;8324
180;Monday;9410
180;Tuesday;8313
180;Wednesday;5575
180;Thursday;7211
180;Friday;6297
180;Saturday;5721
180;Sunday;8644
181;Monday;9395
181;Tuesday;8038
181;Wednesday;6640
181;Thursday;8403
181;Friday;9319
181;Saturday;5390
181;Sunday;6805
182;Monday;9830
182;Tuesday;5120
182;Wednesday;9244
182;Thursday;9167
182;Friday;7806
182;Saturday;9797
182;Sunday;7942
183;Monday;6141
183;Tuesday;9068
183;Wednesday;5276
183;Thursday;8175
183;Friday;9893
183;Saturday;8952
183;Sunday;7666
184;Monday;5875
184;Tuesday;9784
184;Wednesday;7695
184;Thursday;8762
184;Friday;5761
184;Saturday;5122
184;Sunday;5233
185;Monday;5558
185;Tuesday;6679
185;Wednesday;9822
185;Thursday;6844
185;Friday;6621
185;Saturday;9938
185;Sunday;9082
186;Monday;7403
186;Tuesday;5257
186;Wednesday;7090
186;Thursday;8431
186;Friday;7487
186;Saturday;5285
186;Sunday;6788
187;Monday;9756
187;Tuesday;6648
187;Wednesday;7740
187;Thursday;5353
187;Friday;6444
187;Saturday;8360
187;Sunday;8624
188;Monday;5287
188;Tuesday;7424
188;Wednesday;8068
188;Thursday;7491
188;Friday;9280
188;Saturday;9666
188;Sunday;6359
189;Monday;6022
189;Tuesday;5081
189;Wednesday;7289
189;Thursday;8119
189;Friday;8381
189;Saturday;5878
189;Sunday;6711
190;Monday;9811
190;Tuesday;6286
190;Wednesday;7264
190;Thursday;7302
190;Friday;5413
190;Saturday;6825
190;Sunday;7813
191;Monday;6715
191;Tuesday;6681
191;Wednesday;6766
191;Thursday;6641
191;Friday;6135
191;Saturday;7716
191;Sunday;6265
192;Monday;9794
192;Tuesday;5860
192;Wednesday;9689
192;Thursday;6199
192;Friday;5561
192;Saturday;8306
192;Sunday;5928
193;Monday;9676
193;Tuesday;6287
193;Wednesday;9191
193;Thursday;8271
193;Friday;8363
193;Saturday;9965
193;Sunday;7990
194;Monday;8706
194;Tuesday;8725
194;Wednesday;7547
194;Thursday;5361
194;Friday;6229
194;Saturday;8783
194;Sunday;9793
195;Monday;7166
195;Tuesday;6834
195;Wednesday;8670
195;Thursday;6208
195;Friday;7678
195;Saturday;6798
195;Sunday;7168
196;Monday;5436
196;Tuesday;5770
196;Wednesday;5146
196;Thursday;6747
196;Friday;7874
196;Saturday;8115
196;Sunday;5211
197;Monday;6607
197;Tuesday;9768
197;Wednesday;7081
197;Thursday;8243
197;Friday;8994
197;Saturday;8104
197;Sunday;6571
198;Monday;7305
198;Tuesday;8185
198;Wednesday;7625
198;Thursday;8322
198;Friday;7477
198;Saturday;6990
198;Sunday;5376
199;Monday;7259
199;Tuesday;5851
199;Wednesday;7247
199;Thursday;9819
199;Friday;8135
199;Saturday;6595
199;Sunday;6017
200;Monday;9720
200;Tuesday;8416
200;Wednesday;7125
200;Thursday;5836
200;Friday;8592
