Date;Morning;Noon;Evening;Average
2020-05-05;10.8845;3.9182;11.4406;8.7478
2020-05-06;6.1503;11.6490;4.0716;7.2903
2020-05-07;7.1907;6.4264;7.3543;6.9905
2020-05-08;5.6643;10.5318;5.7704;7.3222
2020-05-09;8.9245;4.3860;6.7035;6.6713
2020-05-10;8.6622;4.2302;3.5803;5.4909
2020-05-11;10.8488;3.6778;11.2047;8.5771
2020-05-12;3.6527;4.7807;4.3446;4.2593
2020-05-13;3.5351;10.4632;11.1287;8.3757
2020-05-14;3.9324;5.5069;9.4975;6.3123
2020-05-15;4.7618;7.4744;8.2859;6.8407
2020-05-16;8.5514;11.9681;5.1253;8.5483
2020-05-17;9.5140;4.7690;9.6641;7.9824
2020-05-18;6.4355;8.7701;6.2240;7.1432
2020-05-19;8.7970;3.9872;11.3863;8.0568
2020-05-20;11.8375;6.2916;6.7347;8.2879
2020-05-21;11.5952;11.5036;10.8756;11.3248
2020-05-22;4.3193;11.9337;10.7234;8.9921
2020-05-23;5.4645;10.8979;9.5311;8.6312
2020-05-24;8.3795;8.1225;5.3579;7.2866
2020-05-25;3.7788;4.6606;10.5722;6.3372
2020-05-26;3.9082;6.9714;9.0026;6.6274
2020-05-27;11.0403;11.7041;7.9855;10.2433
2020-05-28;7.4901;9.0338;11.4548;9.3262
2020-05-29;7.7290;3.7902;7.7633;6.4275
2020-05-30;5.9275;8.7524;6.1046;6.9282
2020-05-31;9.9733;10.1359;5.8087;8.6393
2020-06-01;9.6617;3.5703;3.5563;5.5961
2020-06-02;6.7209;3.8009;3.8545;4.7921
2020-06-03;6.7746;6.7153;8.9545;7.4815
2020-06-04;6.4770;4.6793;9.0926;6.7496
2020-06-05;5.3321;9.6511;7.1625;7.3819
2020-06-06;7.7872;4.1452;5.1582;5.6969
2020-06-07;3.7753;11.1151;8.8570;7.9158
2020-06-08;6.9553;7.4488;8.2736;7.5592
2020-06-09;4.2823;3.5484;10.9075;6.2461
2020-06-10;9.9489;11.1766;9.1706;10.0987
2020-06-11;5.0398;5.3488;8.4017;6.2634
2020-06-12;11.2989;11.9299;5.4886;9.5725
2020-06-13;7.1209;4.6044;5.5626;5.7626
2020-06-14;9.9464;10.4015;11.1655;10.5045
2020-06-15;6.8398;10.6898;4.1028;7.2108
2020-06-16;5.4203;6.7278;4.2937;5.4806
2020-06-17;8.4791;7.4249;8.1221;8.0087
2020-06-18;4.1302;8.5971;5.4350;6.0541
2020-06-19;10.8294;3.6925;10.2848;8.2689
2020-06-20;9.0107;8.7010;3.8684;7.1934
2020-06-21;11.8064;10.5697;7.6279;10.0013
2020-06-22;9.8223;3.9128;11.3327;8.3559
2020-06-23;8.4690;8.6967;4.3701;7.1786
2020-06-24;8.8560;8.8575;7.8232;8.5122
2020-06-25;9.5318;10.3847;7.9036;9.2734
2020-06-26;6.8117;11.7245;6.4474;8.3279
2020-06-27;4.5695;9.3011;11.2009;8.3572
2020-06-28;10.3003;3.7821;11.8701;8.6508
2020-06-29;8.9964;10.2935;5.4199;8.2366
2020-06-30;7.4719;8.5287;4.0761;6.6922
2020-07-01;5.9829;6.3726;3.9837;5.4464
2020-07-02;9.5152;4.4699;6.1863;6.7238
2020-07-03;9.3681;4.3116;4.7807;6.1535
2020-07-04;8.3186;5.7602;8.9199;7.6662
2020-07-05;5.7233;5.8101;11.7721;7.7685
2020-07-06;10.0742;5.3439;4.7257;6.7146
2020-07-07;10.5124;5.1379;6.5081;7.3861
2020-07-08;8.2054;10.5386;3.8450;7.5297
2020-07-09;5.4348;4.8562;6.7834;5.6915
2020-07-10;6.3047;9.1584;7.8997;7.7876
2020-07-11;10.5532;7.2323;9.5326;9.1060
2020-07-12;7.5299;10.2865;5.8438;7.8867
2020-07-13;4.0344;6.5824;5.3110;5.3093
2020-07-14;7.4861;4.2785;9.1027;6.9558
2020-07-15;7.1733;4.0040;9.7702;6.9825
2020-07-16;6.5803;10.6621;5.4939;7.5788
2020-07-17;6.6446;4.9770;4.0278;5.2165
2020-07-18;10.8738;10.8347;6.4194;9.3760
2020-07-19;9.4095;9.7352;6.3472;8.4973
2020-07-20;11.7147;3.6021;11.9813;9.0994
2020-07-21;7.0373;10.5131;5.8914;7.8139
2020-07-22;4.4039;8.9072;3.5688;5.6266
2020-07-23;5.9269;10.2965;6.7785;7.6673
2020-07-24;8.3034;7.5477;5.0260;6.9590
2020-07-25;7.0109;4.6333;7.5516;6.3986
2020-07-26;5.2819;10.5694;5.8798;7.2437
2020-07-27;4.9549;8.8513;5.1986;6.3349
2020-07-28;7.5751;9.7844;8.4722;8.6106
2020-07-29;7.4071;3.8101;4.1619;5.1264
2020-07-30;11.7768;5.2739;11.6751;9.5753
2020-07-31;7.6956;9.9509;6.8016;8.1494
2020-08-01;4.1688;7.9148;4.9729;5.6855
2020-08-02;5.6299;8.7077;5.0213;6.4530
2020-08-03;5.8415;5.9207;8.3669;6.7097
2020-08-04;4.4255;8.7537;9.4314;7.5369
2020-08-05;5.7305;8.3655;10.9709;8.3556
2020-08-06;8.1807;3.9156;7.5071;6.5345
2020-08-07;11.0558;8.6992;10.2264;9.9938
2020-08-08;11.2206;8.8485;8.0477;9.3723
2020-08-09;5.9507;4.6042;5.4035;5.3195
2020-08-10;5.0906;8.1878;4.0693;5.7826
2020-08-11;3.8045;5.8850;11.6363;7.1086
2020-08-12;7.1576;8.0144;11.6881;8.9534
2020-08-13;10.0350;11.1657;9.2435;10.1481
2020-08-14;7.7519;5.0584;6.7894;6.5332
2020-08-15;8.6080;5.5574;11.1273;8.4309
2020-08-16;4.0222;8.2055;6.0867;6.1048
2020-08-17;6.7583;8.2890;6.4237;7.1570
2020-08-18;7.1611;11.4474;11.9043;10.1709
2020-08-19;10.5663;7.9386;5.2597;7.9215
2020-08-20;4.8576;10.8522;3.9692;6.5597
2020-08-21;4.1147;3.5336;6.5804;4.7429
2020-08-22;9.1618;5.1632;3.9218;6.0823
2020-08-23;7.7194;3.8432;3.9474;5.1700
2020-08-24;4.4111;8.4882;4.9629;5.9541
2020-08-25;5.9955;6.7807;8.2292;7.0018
2020-08-26;4.4987;10.5975;10.9964;8.6975
2020-08-27;6.6992;3.7673;6.2531;5.5732
2020-08-28;10.9861;4.7899;11.7876;9.1879
2020-08-29;9.9385;4.6232;3.5078;6.0232
2020-08-30;3.8760;10.2819;10.2472;8.1350
2020-08-31;10.4602;7.3388;5.8152;7.8714
2020-09-01;11.5284;11.9562;10.8376;11.4407
2020-09-02;9.1746;7.8410;6.7703;7.9286
2020-09-03;5.0297;10.6265;4.1931;6.6164
2020-09-04;9.4959;6.9425;10.6469;9.0284
2020-09-05;4.5975;9.6301;5.6912;6.6396
2020-09-06;10.3490;8.5611;6.4803;8.4635
2020-09-07;6.7101;4.3199;6.0282;5.6861
2020-09-08;4.3436;6.7154;7.1013;6.0534
2020-09-09;6.3680;9.6376;10.6416;8.8824
2020-09-10;11.6161;9.0955;5.9239;8.8785
2020-09-11;11.6538;7.9369;7.0100;8.8669
2020-09-12;7.2081;8.9378;8.9413;8.3624
2020-09-13;7.0443;3.5910;5.8731;5.5028
2020-09-14;5.4703;7.4140;7.0956;6.6600
2020-09-15;10.2002;4.4778;3.6320;6.1033
2020-09-16;10.2849;9.1021;4.1273;7.8381
2020-09-17;5.7119;5.8996;6.8128;6.1414
2020-09-18;5.8042;11.0907;10.2233;9.0394
2020-09-19;4.5600;11.6297;10.4938;8.8945
2020-09-20;5.8375;10.5493;11.1024;9.1631
2020-09-21;3.8819;11.2903;6.9271;7.3664
2020-09-22;4.2273;7.4550;11.4132;7.6985
2020-09-23;3.5303;8.8710;8.5936;6.9983
2020-09-24;11.8729;4.3472;4.4814;6.9005
2020-09-25;9.5273;10.9509;7.5287;9.3356
2020-09-26;11.1079;3.8087;5.9475;6.9547
2020-09-27;8.5019;5.6977;7.0855;7.0950
2020-09-28;4.0204;6.9623;7.3656;6.1161
2020-09-29;7.0285;9.7197;9.2142;8.6541
2020-09-30;10.3263;4.9909;9.2610;8.1927
2020-10-01;3.6818;11.9384;6.2072;7.2758
2020-10-02;3.9777;6.9715;7.7806;6.2433
2020-10-03;8.2398;11.7793;9.2503;9.7565
2020-10-04;10.3101;8.9437;5.9158;8.3899
2020-10-05;6.4138;9.0158;8.9621;8.1306
2020-10-06;9.8564;5.9765;8.0343;7.9557
2020-10-07;8.2887;5.8707;8.7216;7.6270
2020-10-08;7.4000;10.8792;9.2771;9.1854
2020-10-09;5.1124;8.3134;3.7777;5.7345
2020-10-10;11.3749;11.7407;7.6832;10.2663
2020-10-11;11.2078;5.1723;10.1351;8.8384
2020-10-12;5.1794;5.4238;5.0632;5.2221
2020-10-13;9.7992;3.9460;11.9470;8.5641
2020-10-14;8.4687;9.4435;4.6729;7.5284
2020-10-15;8.6686;3.6837;6.2454;6.1992
2020-10-16;5.0761;5.1796;7.7342;5.9966
2020-10-17;8.8392;10.9610;3.5394;7.7799
2020-10-18;11.5926;9.5815;7.5696;9.5812
2020-10-19;4.8288;5.9273;10.3485;7.0349
2020-10-20;7.4280;9.5651;7.7497;8.2476
2020-10-21;7.1136;9.0418;9.8463;8.6672
2020-10-22;6.5641;8.5608;4.8786;6.6678
2020-10-23;8.8432;8.3539;10.7330;9.3100
2020-10-24;7.8289;9.8910;3.8279;7.1826
2020-10-25;11.6617;5.5423;11.0054;9.4031
2020-10-26;5.7910;4.9122;5.7860;5.4964
2020-10-27;11.0816;3.9270;9.7022;8.2369
2020-10-28;11.1469;5.6798;5.9916;7.6061
2020-10-29;7.3543;10.4727;11.0580;9.6283
2020-10-30;8.9787;6.4515;5.4966;6.9756
2020-10-31;10.7044;4.9850;4.2881;6.6592
2020-11-01;9.6634;6.1106;7.5172;7.7637
2020-11-02;7.2443;5.7250;8.1251;7.0315
2020-11-03;9.8318;8.5220;10.2994;9.5511
2020-11-04;7.0223;11.3747;8.9536;9.1169
2020-11-05;4.3931;8.1158;7.3518;6.6202
2020-11-06;7.9392;7.5138;4.6848;6.7126
2020-11-07;3.6108;11.6976;6.5232;7.2772
2020-11-08;10.2152;9.6184;3.8192;7.8843
2020-11-09;6.7981;3.5628;5.0700;5.1436
2020-11-10;8.5892;5.5854;7.9905;7.3884
2020-11-11;3.5858;4.0402;7.8762;5.1674
2020-11-12;8.9782;5.8807;11.4482;8.7690
2020-11-13;9.2035;11.6022;9.6112;10.1390
2020-11-14;4.9904;11.5746;9.6408;8.7353
2020-11-15;6.3774;5.6896;6.1033;6.0568
2020-11-16;7.6817;4.6182;9.8258;7.3752
2020-11-17;8.1985;8.7530;6.4412;7.7976
2020-11-18;8.0640;7.4975;10.2825;8.6147
2020-11-19;11.4938;9.6715;8.1150;9.7601
2020-11-20;5.1659;7.6054;11.1453;7.9722
2020-11-21;4.4873;11.3871;7.4514;7.7753
2020-11-22;6.8298;4.0573;9.9856;6.9576
2020-11-23;9.2535;6.9573;10.6960;8.9689
2020-11-24;4.4247;7.5620;10.8356;7.6074
2020-11-25;6.3798;7.0863;8.0291;7.1651
2020-11-26;10.8498;6.5840;9.1757;8.8698
2020-11-27;8.4529;7.6222;9.3222;8.4658
2020-11-28;6.8336;11.9971;5.9637;8.2648
2020-11-29;7.7545;9.0906;7.2428;8.0293
2020-11-30;9.0908;9.9643;7.5067;8.8539
2020-12-01;7.1562;6.4854;10.1543;7.9320
2020-12-02;11.3405;10.0709;3.8986;8.4367
2020-12-03;6.5057;7.9935;3.8920;6.1304
2020-12-04;11.3380;3.6042;11.7876;8.9099
2020-12-05;8.7332;11.5580;11.7934;10.6949
2020-12-06;7.3375;3.8257;5.8987;5.6873
2020-12-07;9.2858;6.4890;7.7975;7.8574
2020-12-08;11.3165;3.5724;5.1947;6.6945
2020-12-09;6.9726;8.3512;9.0367;8.1202
2020-12-10;10.0688;3.8743;11.8194;8.5875
2020-12-11;4.3875;10.7070;6.8303;7.3083
2020-12-12;3.7021;4.6842;4.1549;4.1804
2020-12-13;6.8308;6.0740;7.6774;6.8607
2020-12-14;5.8047;10.5138;3.5397;6.6194
2020-12-15;9.9920;11.1274;3.7139;8.2778
2020-12-16;9.5283;5.0387;6.4577;7.0082
2020-12-17;3.9494;3.6079;4.2259;3.9277
2020-12-18;7.6086;5.8622;8.6241;7.3650
2020-12-19;4.5279;5.5767;5.3755;5.1600
2020-12-20;8.5579;11.9920;6.0998;8.8832
2020-12-21;9.8640;4.4531;11.9076;8.7416
2020-12-22;4.9575;4.4584;5.2148;4.8769
2020-12-23;3.7080;10.9551;9.4164;8.0265
2020-12-24;9.0647;8.2130;11.8799;9.7192
2020-12-25;7.2396;7.4923;5.3438;6.6919
2020-12-26;4.0375;3.6686;7.4325;5.0462
2020-12-27;11.0662;9.4315;11.0280;10.5086
2020-12-28;9.1355;6.4550;7.0278;7.5394
2020-12-29;10.9411;8.4570;10.4899;9.9627
2020-12-30;4.9994;4.4895;11.9120;7.1336
2020-12-31;7.2038;11.1617;8.4600;8.9418
2021-01-01;6.2448;11.2232;6.3612;7.9431
2021-01-02;9.0607;4.0914;9.1945;7.4489
2021-01-03;5.2566;8.0022;5.0918;6.1169
2021-01-04;4.8534;4.2294;10.3495;6.4774
2021-01-05;5.9116;8.0549;7.8798;7.2821
2021-01-06;10.2896;6.0220;4.1180;6.8099
2021-01-07;9.3770;5.4345;8.9473;7.9196
2021-01-08;10.7689;5.9555;7.0528;7.9257
2021-01-09;7.2115;6.6889;9.8200;7.9068
2021-01-10;4.6434;7.8937;9.4293;7.3221
2021-01-11;11.9678;10.8149;9.3348;10.7058
2021-01-12;6.1144;11.6438;10.1989;9.3190
2021-01-13;4.1900;3.5260;5.3593;4.3584
2021-01-14;4.5697;9.4428;10.5092;8.1739
2021-01-15;8.1430;4.2650;11.8174;8.0751
2021-01-16;7.6665;10.3441;8.3022;8.7709
2021-01-17;9.5150;9.1421;4.8032;7.8201
2021-01-18;10.8135;6.6676;7.9533;8.4781
2021-01-19;9.0514;8.6432;11.8617;9.8521
2021-01-20;5.9270;4.0132;9.6909;6.5437
2021-01-21;4.5449;11.3538;4.4174;6.7720
2021-01-22;10.7880;7.8082;10.3824;9.6595
2021-01-23;6.1592;9.6144;11.2060;8.9932
2021-01-24;11.5144;10.0068;9.4837;10.3350
2021-01-25;4.1133;7.4125;9.6672;7.0643
2021-01-26;10.1974;8.0652;9.6021;9.2882
2021-01-27;5.2711;3.9513;6.6681;5.2968
2021-01-28;4.4459;11.5312;5.3650;7.1140
2021-01-29;5.3401;5.9160;11.4087;7.5549
2021-01-30;3.5390;10.5360;10.5310;8.2020
2021-01-31;7.8397;7.8777;5.9711;7.2295
2021-02-01;8.2189;10.9542;6.6915;8.6215
2021-02-02;4.8075;5.4238;5.9015;5.3776
2021-02-03;11.8385;9.6507;6.5288;9.3393
2021-02-04;10.9081;7.2633;10.7391;9.6368
2021-02-05;10.2039;8.1804;5.1995;7.8613
2021-02-06;5.8001;11.2902;11.9585;9.6829
2021-02-07;4.8116;9.4172;9.7096;7.9795
2021-02-08;6.3307;8.7815;6.9528;7.3550
2021-02-09;6.1233;11.8542;6.3447;8.1074
2021-02-10;9.2889;11.6906;11.6227;10.8674
2021-02-11;4.2831;11.8868;7.0958;7.7552
2021-02-12;9.3813;5.6202;9.1463;8.0493
2021-02-13;6.2827;11.5856;4.6470;7.5051
2021-02-14;6.2129;4.8504;10.2646;7.1093
2021-02-15;5.7017;10.0285;8.2082;7.9795
2021-02-16;6.1605;8.0928;6.6840;6.9791
2021-02-17;6.5202;10.4204;6.5864;7.8423
2021-02-18;9.8903;10.8930;5.0489;8.6107
2021-02-19;5.1200;5.1058;3.9631;4.7296
2021-02-20;9.6591;4.2036;4.3240;6.0622
2021-02-21;5.1726;9.1056;8.5270;7.6017
2021-02-22;7.9762;9.8327;8.2284;8.6791
2021-02-23;7.0517;4.4054;11.8983;7.7851
2021-02-24;9.2866;10.4737;8.2673;9.3425
2021-02-25;8.2205;11.7884;5.9744;8.6611
2021-02-26;10.5450;7.4603;3.6238;7.2097
2021-02-27;4.6270;8.3856;5.2814;6.0980
2021-02-28;6.9097;10.3394;4.5533;7.2675
2021-03-01;5.6105;10.9681;9.0632;8.5473
2021-03-02;10.8574;6.7372;9.8577;9.1508
2021-03-03;10.8606;5.9909;6.1975;7.6830
2021-03-04;11.9676;11.0842;7.3320;10.1279
2021-03-05;10.0248;7.0451;10.1827;9.0842
2021-03-06;10.1264;5.9456;9.4259;8.4993
2021-03-07;9.3943;11.3370;9.4230;10.0514
2021-03-08;11.9196;10.2172;11.9489;11.3619
2021-03-09;9.5260;4.9994;3.7564;6.0939
2021-03-10;7.6810;7.7637;6.8287;7.4245
2021-03-11;5.9322;11.5629;9.4681;8.9877
2021-03-12;9.2451;3.6839;11.1486;8.0259
2021-03-13;6.8837;6.7025;5.0617;6.2160
2021-03-14;7.5943;5.3343;7.0611;6.6632
2021-03-15;8.5992;9.8063;9.0218;9.1424
2021-03-16;3.7485;5.3436;8.8058;5.9660
2021-03-17;6.7540;6.2270;11.2022;8.0611
2021-03-18;7.5013;6.7706;10.8201;8.3640
2021-03-19;5.5246;8.9730;11.0389;8.5122
2021-03-20;4.0874;6.5720;7.4837;6.0477
2021-03-21;7.0930;8.0904;5.4259;6.8698
2021-03-22;8.9978;6.5561;4.6486;6.7342
2021-03-23;4.5890;3.8537;6.6507;5.0311
2021-03-24;4.8653;8.3172;4.1013;5.7613
2021-03-25;7.8897;10.5082;9.5003;9.2994
2021-03-26;6.0800;11.0680;9.3005;8.8162
2021-03-27;10.9077;6.3089;8.5019;8.5728
2021-03-28;4.4834;10.3599;7.6173;7.4869
2021-03-29;4.5327;11.9997;10.8424;9.1249
2021-03-30;5.9102;9.0721;9.8025;8.2616
2021-03-31;5.4039;9.9813;6.9540;7.4464
2021-04-01;7.7729;10.3297;11.6478;9.9168
2021-04-02;6.1769;3.8052;4.8830;4.9550
2021-04-03;6.9349;9.3328;5.4351;7.2343
2021-04-04;7.4925;5.8833;10.3866;7.9208
2021-04-05;6.3928;11.4734;5.8483;7.9048
2021-04-06;7.3096;9.2179;11.0242;9.1839
2021-04-07;11.2050;3.9767;9.8138;8.3318
2021-04-08;6.0651;9.3647;7.4814;7.6371
2021-04-09;4.8262;8.2257;10.4974;7.8498
2021-04-10;6.0264;11.8735;9.6385;9.1795
2021-04-11;8.7680;5.0350;9.2066;7.6699
2021-04-12;6.5301;3.6456;11.7243;7.3000
2021-04-13;5.9718;7.4868;11.0888;8.1825
2021-04-14;6.1318;6.0861;6.9081;6.3753
2021-04-15;10.9194;11.1428;8.4524;10.1715
2021-04-16;9.1649;8.3125;6.0502;7.8425
2021-04-17;3.7300;6.6970;4.6129;5.0133
2021-04-18;3.9786;11.9532;11.5776;9.1698
2021-04-19;11.8728;5.9067;9.7002;9.1599
2021-04-20;11.8325;5.7579;7.8858;8.4921
2021-04-21;11.7311;5.5493;11.9949;9.7584
2021-04-22;5.9561;3.8224;7.2057;5.6614
2021-04-23;11.9872;10.9698;6.3022;9.7531
2021-04-24;3.7122;9.3093;10.5508;7.8574
2021-04-25;11.2590;4.2600;10.2736;8.5975
2021-04-26;5.3548;6.7823;10.1169;7.4180
2021-04-27;7.7063;6.8619;8.6231;7.7304
2021-04-28;5.1843;6.3749;4.1866;5.2486
2021-04-29;9.9021;10.4006;3.7630;8.0219
2021-04-30;7.2929;6.7721;5.5261;6.5304
2021-05-01;5.3152;3.8863;5.9203;5.0406
2021-05-02;6.3369;10.0650;8.8143;8.4054
2021-05-03;7.8627;7.4828;7.2923;7.5459
2021-05-04;4.0480;8.3629;7.1343;6.5151
2021-05-05;11.1736;11.1366;8.9693;10.4265
2021-05-06;9.3531;5.1042;5.1633;6.5402
2021-05-07;5.7673;5.2151;8.2926;6.4250
2021-05-08;10.0778;8.6674;4.8533;7.8662
2021-05-09;11.6322;8.5018;8.1883;9.4408
2021-05-10;5.1194;4.6864;5.8650;5.2236
2021-05-11;7.1394;10.3755;4.1202;7.2117
2021-05-12;5.9438;10.8530;10.1268;8.9745
2021-05-13;7.9273;5.9116;4.1905;6.0098
2021-05-14;5.4518;9.2371;8.8925;7.8605
2021-05-15;10.3384;8.3272;6.5867;8.4174
2021-05-16;11.3919;8.0837;7.6060;9.0272
2021-05-17;6.0552;4.4303;5.4635;5.3163
2021-05-18;9.6686;9.5366;11.7582;10.3211
2021-05-19;6.5129;10.3260;11.6949;9.5113
2021-05-20;10.1055;9.3415;3.7971;7.7480
2021-05-21;8.2633;10.3841;7.2271;8.6248
2021-05-22;10.3433;7.6985;8.6557;8.8992
2021-05-23;6.1594;8.1752;7.8252;7.3866
2021-05-24;6.6944;4.1256;10.5160;7.1120
2021-05-25;11.9856;8.4302;8.4367;9.6175
2021-05-26;6.1921;7.8047;8.2251;7.4073
2021-05-27;8.1001;5.7769;9.0877;7.6549
2021-05-28;9.2655;7.9665;7.7001;8.3107
2021-05-29;5.7279;5.5385;9.3475;6.8713
2021-05-30;4.6112;4.7672;3.9063;4.4282
2021-05-31;10.1537;11.4668;7.6003;9.7403
